geo_fips,state_abbrev,county_name,total_producers,total_milk_pounds,n_orders,orders,region
36071.0,NY,Orange,16.0,1702000.0,1,FO1,Northeast
36073.0,NY,Orleans,6.0,4153000.0,1,FO1,Northeast
36075.0,NY,Oswego,11.0,6112000.0,1,FO1,Northeast
36077.0,NY,Otsego,74.0,10707000.0,1,FO1,Northeast
36083.0,NY,Rensselaer,22.0,23707000.0,1,FO1,Northeast
36089.0,NY,St. Lawrence,130.0,80307000.0,1,FO1,Northeast
36091.0,NY,Saratoga,10.0,22552000.0,1,FO1,Northeast
36095.0,NY,Schoharie,29.0,6914000.0,1,FO1,Northeast
36097.0,NY,Schuyler,10.0,21027000.0,1,FO1,Northeast
36099.0,NY,Seneca,65.0,8977000.0,1,FO1,Northeast
36101.0,NY,Steuben,80.0,41891577.0,2,FO1+FO33,Northeast
36105.0,NY,Sullivan,12.0,898000.0,1,FO1,Northeast
36107.0,NY,Tioga,39.0,7482000.0,1,FO1,Northeast
36109.0,NY,Tompkins,22.0,16495000.0,1,FO1,Northeast
36115.0,NY,Washington,63.0,38565000.0,1,FO1,Northeast
36117.0,NY,Wayne,35.0,20250000.0,1,FO1,Northeast
36121.0,NY,Wyoming,86.0,94150072.0,2,FO1+FO33,Northeast
36123.0,NY,Yates,231.0,21718000.0,1,FO1,Northeast
42001.0,PA,Adams,24.0,10514000.0,1,FO1,Northeast
42003.0,PA,Allegheny,3.0,266000.0,1,FO1,Northeast
42005.0,PA,Armstrong,9.0,2203191.0,1,FO33,Northeast
42007.0,PA,Beaver,9.0,540599.0,1,FO33,Northeast
42009.0,PA,Bedford,123.0,10890656.0,3,FO1+FO5+FO33,Northeast
42011.0,PA,Berks,160.0,33665648.0,2,FO1+FO5,Northeast
42013.0,PA,Blair,106.0,39812474.0,3,FO1+FO5+FO33,Northeast
42015.0,PA,Bradford,91.0,14463121.0,2,FO1+FO33,Northeast
42017.0,PA,Bucks,7.0,665000.0,1,FO1,Northeast
42019.0,PA,Butler,17.0,2983260.0,1,FO33,Northeast
42021.0,PA,Cambria,3.0,921701.0,1,FO33,Northeast
42027.0,PA,Centre,81.0,13670763.0,2,FO1+FO33,Northeast
42029.0,PA,Chester,214.0,38703857.0,2,FO1+FO33,Northeast
42031.0,PA,Clarion,11.0,2831530.0,1,FO33,Northeast
42033.0,PA,Clearfield,7.0,809844.0,1,FO33,Northeast
42035.0,PA,Clinton,50.0,9849845.0,2,FO1+FO33,Northeast
42037.0,PA,Columbia,30.0,2340000.0,1,FO1,Northeast
42039.0,PA,Crawford,70.0,17300840.0,2,FO1+FO33,Northeast
42041.0,PA,Cumberland,170.0,38789173.0,2,FO1+FO5,Northeast
42043.0,PA,Dauphin,38.0,6602000.0,1,FO1,Northeast
42049.0,PA,Erie,26.0,3073386.0,1,FO33,Northeast
42051.0,PA,Fayette,20.0,2282765.0,2,FO1+FO33,Northeast
42053.0,PA,Forest,3.0,181682.0,1,FO33,Northeast
42055.0,PA,Franklin,224.0,67051343.0,2,FO1+FO5,Northeast
42057.0,PA,Fulton,17.0,5798279.0,2,FO1+FO5,Northeast
42061.0,PA,Huntingdon,43.0,23993517.0,3,FO1+FO5+FO33,Northeast
42063.0,PA,Indiana,27.0,5364735.0,1,FO33,Northeast
42065.0,PA,Jefferson,10.0,952398.0,1,FO33,Northeast
42067.0,PA,Juniata,59.0,10546065.0,2,FO1+FO5,Northeast
42069.0,PA,Lackawanna,7.0,237000.0,1,FO1,Northeast
42071.0,PA,Lancaster,1170.0,183979727.0,2,FO1+FO33,Northeast
42073.0,PA,Lawrence,22.0,6526969.0,1,FO33,Northeast
42075.0,PA,Lebanon,189.0,48266000.0,1,FO1,Northeast
42077.0,PA,Lehigh,8.0,1202000.0,1,FO1,Northeast
42079.0,PA,Luzerne,9.0,1026000.0,1,FO1,Northeast
42081.0,PA,Lycoming,46.0,4499124.0,2,FO1+FO33,Northeast
42083.0,PA,McKean,5.0,287000.0,1,FO1,Northeast
42085.0,PA,Mercer,36.0,4596053.0,2,FO1+FO33,Northeast
42087.0,PA,Mifflin,110.0,15019907.0,2,FO1+FO5,Northeast
42091.0,PA,Montgomery,6.0,707000.0,1,FO1,Northeast
42093.0,PA,Montour,19.0,2276000.0,1,FO1,Northeast
42095.0,PA,Northampton,6.0,383000.0,1,FO1,Northeast
42097.0,PA,Northumberland,17.0,1871000.0,1,FO1,Northeast
42099.0,PA,Perry,66.0,17875151.0,2,FO1+FO5,Northeast
42105.0,PA,Potter,10.0,10167000.0,1,FO1,Northeast
42107.0,PA,Schuylkill,17.0,2860000.0,1,FO1,Northeast
42109.0,PA,Snyder,49.0,4617513.0,3,FO1+FO5+FO33,Northeast
42111.0,PA,Somerset,115.0,13800742.0,2,FO1+FO33,Northeast
42113.0,PA,Sullivan,3.0,139000.0,1,FO1,Northeast
42115.0,PA,Susquehanna,51.0,5069000.0,1,FO1,Northeast
42117.0,PA,Tioga,46.0,5256000.0,1,FO1,Northeast
42119.0,PA,Union,115.0,15561325.0,3,FO1+FO5+FO33,Northeast
42121.0,PA,Venango,3.0,570676.0,1,FO33,Northeast
42123.0,PA,Warren,17.0,3041787.0,1,FO33,Northeast
42125.0,PA,Washington,14.0,1403451.0,1,FO33,Northeast
42127.0,PA,Wayne,22.0,1487000.0,1,FO1,Northeast
42129.0,PA,Westmoreland,30.0,4520541.0,1,FO33,Northeast
42131.0,PA,Wyoming,17.0,994000.0,1,FO1,Northeast
42133.0,PA,York,78.0,9645887.0,2,FO1+FO33,Northeast
50001.0,VT,Addison,53.0,64011000.0,1,FO1,Northeast
50003.0,VT,Bennington,3.0,1397000.0,1,FO1,Northeast
50005.0,VT,Caledonia,29.0,7223000.0,1,FO1,Northeast
50007.0,VT,Chittenden,16.0,4021000.0,1,FO1,Northeast
50009.0,VT,Essex,6.0,1770000.0,1,FO1,Northeast
50011.0,VT,Franklin,83.0,67351000.0,1,FO1,Northeast
50013.0,VT,Grand Isle,7.0,3798000.0,1,FO1,Northeast
50015.0,VT,Lamoille,16.0,2933000.0,1,FO1,Northeast
50017.0,VT,Orange,34.0,15359000.0,1,FO1,Northeast
50019.0,VT,Orleans,53.0,23844000.0,1,FO1,Northeast
50021.0,VT,Rutland,20.0,2524000.0,1,FO1,Northeast
50023.0,VT,Washington,8.0,5756000.0,1,FO1,Northeast
50025.0,VT,Windham,13.0,4143000.0,1,FO1,Northeast
50027.0,VT,Windsor,10.0,1023000.0,1,FO1,Northeast
55001.0,WI,Adams,6.0,22662915.0,1,FO30,Upper Midwest
55005.0,WI,Barron,33.0,5900620.0,1,FO30,Upper Midwest
55009.0,WI,Brown,61.0,55799062.0,1,FO30,Upper Midwest
55011.0,WI,Buffalo,36.0,16819659.0,1,FO30,Upper Midwest
55015.0,WI,Calumet,31.0,26838680.0,1,FO30,Upper Midwest
55017.0,WI,Chippewa,57.0,12808636.0,1,FO30,Upper Midwest
55019.0,WI,Clark,93.0,31008176.0,1,FO30,Upper Midwest
55021.0,WI,Columbia,26.0,4098928.0,1,FO30,Upper Midwest
55023.0,WI,Crawford,32.0,5446746.0,2,FO30+FO32,Upper Midwest
55025.0,WI,Dane,94.0,26388176.0,2,FO30+FO32,Upper Midwest
55027.0,WI,Dodge,88.0,34057514.0,1,FO30,Upper Midwest
55029.0,WI,Door,13.0,11882676.0,1,FO30,Upper Midwest
55031.0,WI,Douglas,3.0,188914.0,1,FO30,Upper Midwest
55033.0,WI,Dunn,22.0,19078231.0,1,FO30,Upper Midwest
55035.0,WI,Eau Claire,11.0,2904921.0,1,FO30,Upper Midwest
55039.0,WI,Fond du Lac,76.0,56901092.0,1,FO30,Upper Midwest
55043.0,WI,Grant,143.0,38633713.0,2,FO30+FO32,Upper Midwest
55045.0,WI,Green,68.0,20139443.0,1,FO30,Upper Midwest
55047.0,WI,Green Lake,10.0,7110599.0,1,FO30,Upper Midwest
55049.0,WI,Iowa,78.0,16599695.0,2,FO30+FO32,Upper Midwest
55053.0,WI,Jackson,20.0,7327336.0,1,FO30,Upper Midwest
55055.0,WI,Jefferson,32.0,12872631.0,1,FO30,Upper Midwest
55057.0,WI,Juneau,24.0,6459563.0,2,FO30+FO32,Upper Midwest
55059.0,WI,Kenosha,9.0,1832684.0,1,FO30,Upper Midwest
55061.0,WI,Kewaunee,39.0,15170008.0,1,FO30,Upper Midwest
55063.0,WI,La Crosse,14.0,6089372.0,1,FO30,Upper Midwest
55065.0,WI,LaFayette,74.0,14838105.0,2,FO30+FO32,Upper Midwest
55067.0,WI,Langlade,7.0,3309805.0,1,FO30,Upper Midwest
55069.0,WI,Lincoln,3.0,695615.0,1,FO30,Upper Midwest
55071.0,WI,Manitowoc,85.0,43149892.0,1,FO30,Upper Midwest
55073.0,WI,Marathon,46.0,19711719.0,1,FO30,Upper Midwest
55075.0,WI,Marinette,18.0,16267520.0,1,FO30,Upper Midwest
55077.0,WI,Marquette,7.0,9052642.0,1,FO30,Upper Midwest
55081.0,WI,Monroe,53.0,19786884.0,2,FO30+FO32,Upper Midwest
55083.0,WI,Oconto,24.0,14642166.0,1,FO30,Upper Midwest
55087.0,WI,Outagamie,46.0,22227950.0,1,FO30,Upper Midwest
55089.0,WI,Ozaukee,13.0,10019759.0,1,FO30,Upper Midwest
55091.0,WI,Pepin,11.0,4492040.0,1,FO30,Upper Midwest
55093.0,WI,Pierce,41.0,7681511.0,1,FO30,Upper Midwest
55095.0,WI,Polk,15.0,4774084.0,1,FO30,Upper Midwest
55097.0,WI,Portage,3.0,1727375.0,1,FO30,Upper Midwest
55099.0,WI,Price,3.0,81353.0,1,FO30,Upper Midwest
55101.0,WI,Racine,13.0,3425212.0,1,FO30,Upper Midwest
55103.0,WI,Richland,29.0,15672878.0,1,FO30,Upper Midwest
55105.0,WI,Rock,29.0,13517491.0,2,FO30+FO32,Upper Midwest
55107.0,WI,Rusk,11.0,2361194.0,1,FO30,Upper Midwest
55109.0,WI,St. Croix,28.0,7557960.0,1,FO30,Upper Midwest
55111.0,WI,Sauk,43.0,9396931.0,1,FO30,Upper Midwest
55115.0,WI,Shawano,40.0,37821044.0,1,FO30,Upper Midwest
55117.0,WI,Sheboygan,24.0,21363346.0,1,FO30,Upper Midwest
55119.0,WI,Taylor,32.0,4170580.0,1,FO30,Upper Midwest
55121.0,WI,Trempealeau,31.0,10007037.0,1,FO30,Upper Midwest
55123.0,WI,Vernon,62.0,9406092.0,2,FO30+FO32,Upper Midwest
55127.0,WI,Walworth,39.0,18097765.0,1,FO30,Upper Midwest
55131.0,WI,Washington,29.0,18897164.0,1,FO30,Upper Midwest
55133.0,WI,Waukesha,11.0,853641.0,1,FO30,Upper Midwest
55135.0,WI,Waupaca,22.0,10630331.0,1,FO30,Upper Midwest
55137.0,WI,Waushara,7.0,1034287.0,1,FO30,Upper Midwest
55139.0,WI,Winnebago,19.0,12920202.0,1,FO30,Upper Midwest
55141.0,WI,Wood,3.0,276300.0,1,FO30,Upper Midwest
