order,order_name,year,month,geo_fips,state_fips,county_fips,state_abbrev,county_name,producers,milk_pounds,row_type,mappable
1,Northeast,2025,December,50007.0,50,7.0,VT,Chittenden,16.0,4021000.0,county,1
1,Northeast,2025,December,50009.0,50,9.0,VT,Essex,6.0,1770000.0,county,1
1,Northeast,2025,December,50011.0,50,11.0,VT,Franklin,83.0,67351000.0,county,1
1,Northeast,2025,December,50013.0,50,13.0,VT,Grand Isle,7.0,3798000.0,county,1
1,Northeast,2025,December,50015.0,50,15.0,VT,Lamoille,16.0,2933000.0,county,1
1,Northeast,2025,December,50017.0,50,17.0,VT,Orange,34.0,15359000.0,county,1
1,Northeast,2025,December,50019.0,50,19.0,VT,Orleans,53.0,23844000.0,county,1
1,Northeast,2025,December,50021.0,50,21.0,VT,Rutland,20.0,2524000.0,county,1
1,Northeast,2025,December,50023.0,50,23.0,VT,Washington,8.0,5756000.0,county,1
1,Northeast,2025,December,50025.0,50,25.0,VT,Windham,13.0,4143000.0,county,1
1,Northeast,2025,December,50027.0,50,27.0,VT,Windsor,10.0,1023000.0,county,1
30,Upper Midwest,2025,December,26005.0,26,5.0,MI,Allegan,,,county,0
30,Upper Midwest,2025,December,26023.0,26,23.0,MI,Branch,,,county,0
30,Upper Midwest,2025,December,26043.0,26,43.0,MI,Dickinson,3.0,1355375.0,county,1
30,Upper Midwest,2025,December,26109.0,26,109.0,MI,Menominee 1/,16.0,6005000.0,county,1
30,Upper Midwest,2025,December,26149.0,26,149.0,MI,St. Joseph,5.0,21787.0,county,1
30,Upper Midwest,2025,December,27005.0,27,5.0,MN,Becker,4.0,8383947.0,county,1
30,Upper Midwest,2025,December,27009.0,27,9.0,MN,Benton,11.0,4465052.0,county,1
30,Upper Midwest,2025,December,27013.0,27,13.0,MN,Blue Earth,3.0,213384.0,county,1
30,Upper Midwest,2025,December,27015.0,27,15.0,MN,Brown,10.0,1573643.0,county,1
30,Upper Midwest,2025,December,27017.0,27,17.0,MN,Carlton,5.0,263994.0,county,1
30,Upper Midwest,2025,December,27019.0,27,19.0,MN,Carver,26.0,6081212.0,county,1
30,Upper Midwest,2025,December,27023.0,27,23.0,MN,Chippewa,3.0,2692605.0,county,1
30,Upper Midwest,2025,December,27025.0,27,25.0,MN,Chisago,4.0,341330.0,county,1
30,Upper Midwest,2025,December,27027.0,27,27.0,MN,Clay,3.0,1615286.0,county,1
30,Upper Midwest,2025,December,27033.0,27,33.0,MN,Cottonwood,,,county,0
30,Upper Midwest,2025,December,27035.0,27,35.0,MN,Crow Wing,,,county,0
30,Upper Midwest,2025,December,27037.0,27,37.0,MN,Dakota,5.0,3924990.0,county,1
30,Upper Midwest,2025,December,27039.0,27,39.0,MN,Dodge,10.0,6703691.0,county,1
30,Upper Midwest,2025,December,27041.0,27,41.0,MN,Douglas,5.0,497580.0,county,1
30,Upper Midwest,2025,December,27043.0,27,43.0,MN,Faribault,,,county,0
30,Upper Midwest,2025,December,27045.0,27,45.0,MN,Fillmore,28.0,12423522.0,county,1
30,Upper Midwest,2025,December,27047.0,27,47.0,MN,Freeborn,,,county,0
30,Upper Midwest,2025,December,27049.0,27,49.0,MN,Goodhue,34.0,23613528.0,county,1
30,Upper Midwest,2025,December,27051.0,27,51.0,MN,Grant,,,county,0
30,Upper Midwest,2025,December,27053.0,27,53.0,MN,Hennepin,,,county,0
30,Upper Midwest,2025,December,27055.0,27,55.0,MN,Houston,25.0,9364194.0,county,1
